ID,Name,Synonyms,SalesPrice,OriginalPrice,Rating,ProductLink,ImageLink,Availibility
Snapdeal_14,"Redmi 9A ( 32GB , 2 GB ) Black","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Black",7749,8999.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg,Available
Snapdeal_15,"MI 11x 5G ( 128GB , 6 GB ) Black","MI 11x 5G | MI 11x 5G ( 128GB , 6 GB) | MI 11x 5G Black",30499,33999.0,0.0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg,Available
Snapdeal_16,"Realme Narzo 30A ( 32GB , 3 GB ) Blue","Realme Narzo 30A | Realme Narzo 30A ( 32GB , 3 GB) | Realme Narzo 30A Blue",9499,9999.0,0.0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg,Available
Snapdeal_17,"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue","Samsung Galaxy M11 | Samsung Galaxy M11 ( 64GB , 4 GB) | Samsung Galaxy M11 Blue",11003,14999.0,3.0,https://www.snapdeal.com/product/samsung-galaxy-m11-64gb-4/655889303670#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/r/6/Samsung-Galaxy-M11-64GB-4-SDL630399095-1-1b2a0.jpeg,Available
Snapdeal_18,"Redmi 6A ( 16GB , 2 GB ) Black","Redmi 6A | Redmi 6A ( 16GB , 2 GB) | Redmi 6A Black",7004,7399.0,0.0,https://www.snapdeal.com/product/redmi-6a-16gb-2-gb/674659825952#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/c/Redmi-6A-16GB-2-GB-SDL994214561-1-b151a.jpg,Available
Snapdeal_19,"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available
Snapdeal_20,"Redmi 9A ( 32GB , 2 GB ) Green","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Green",7899,8499.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/8070451206464593453#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/o/i/Redmi-9A-32GB-2-GB-SDL880361485-1-8764b.jpeg,Available
Snapdeal_21,"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available
Snapdeal_22,"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out
Snapdeal_23,"Redmi 9 ( 64GB , 4 GB ) Sporty Orange","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Orange",9503,10999.0,4.3,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/8070451197392499197,https://n4.sdlcdn.com/imgs/j/q/v/Redmi-9-64GB-4-GB-SDL739288936-1-73c5f.jpeg,Available
